,championId_x,championId_y,WR,count
0,1,6,0.0,1.0
1,1,12,0.0,1.0
2,1,20,1.0,1.0
3,1,22,1.0,1.0
4,1,23,0.0,1.0
5,1,25,0.0,1.0
6,1,26,1.0,1.0
7,1,32,0.3333333333333333,3.0
8,1,38,0.0,1.0
9,1,40,1.0,1.0
10,1,43,1.0,1.0
11,1,44,0.0,1.0
12,1,45,1.0,1.0
13,1,50,1.0,1.0
14,1,51,0.0,1.0
15,1,53,0.4,5.0
16,1,57,1.0,1.0
17,1,63,0.0,1.0
18,1,64,0.0,1.0
19,1,78,0.0,1.0
20,1,80,1.0,1.0
21,1,89,0.6666666666666666,3.0
22,1,99,0.5,4.0
23,1,101,0.6666666666666666,3.0
24,1,105,0.0,1.0
25,1,117,1.0,2.0
26,1,201,0.0,1.0
27,1,235,0.3333333333333333,3.0
28,1,236,0.0,1.0
29,1,240,0.5,2.0
30,1,267,0.6666666666666666,3.0
31,1,350,0.25,4.0
32,1,412,0.0,4.0
33,1,432,0.0,1.0
34,1,526,1.0,1.0
35,1,555,0.0,2.0
36,1,711,1.0,1.0
37,1,875,0.0,2.0
38,2,35,0.0,1.0
39,2,41,0.0,1.0
40,2,53,0.0,1.0
41,2,64,0.0,1.0
42,2,81,0.0,1.0
43,2,89,0.0,1.0
44,2,147,1.0,1.0
45,2,235,0.0,1.0
46,2,350,0.0,2.0
47,2,432,0.0,1.0
48,2,517,1.0,1.0
49,3,12,1.0,2.0
50,3,24,0.0,1.0
51,3,29,0.0,1.0
52,3,43,0.0,1.0
53,3,53,1.0,1.0
54,3,54,0.0,1.0
55,3,57,0.0,1.0
56,3,76,0.0,1.0
57,3,78,0.0,1.0
58,3,86,0.0,1.0
59,3,89,0.0,1.0
60,3,98,1.0,1.0
61,3,111,0.0,1.0
62,3,203,0.0,1.0
63,3,235,0.6875,16.0
64,3,350,0.5,2.0
65,3,412,0.5,4.0
66,3,497,0.0,1.0
67,4,11,0.0,1.0
68,4,12,0.4,5.0
69,4,15,1.0,1.0
70,4,16,0.75,4.0
71,4,17,0.0,1.0
72,4,19,1.0,1.0
73,4,20,0.0,1.0
74,4,22,0.5,2.0
75,4,25,0.2,5.0
76,4,26,0.3333333333333333,3.0
77,4,29,1.0,1.0
78,4,30,1.0,1.0
79,4,32,0.375,8.0
80,4,33,1.0,1.0
81,4,34,1.0,1.0
82,4,35,0.5,4.0
83,4,37,0.0,1.0
84,4,38,0.0,1.0
85,4,39,0.0,1.0
86,4,40,1.0,1.0
87,4,43,0.0,4.0
88,4,44,1.0,1.0
89,4,45,1.0,1.0
90,4,50,0.25,4.0
91,4,53,0.45454545454545453,11.0
92,4,54,0.0,1.0
93,4,57,0.0,1.0
94,4,63,0.0,3.0
95,4,64,0.0,3.0
96,4,67,0.0,1.0
97,4,79,0.5,2.0
98,4,80,0.2,5.0
99,4,81,1.0,1.0
100,4,89,0.4444444444444444,9.0
101,4,92,1.0,1.0
102,4,98,0.5,2.0
103,4,99,0.2,5.0
104,4,101,0.2857142857142857,7.0
105,4,107,0.0,1.0
106,4,111,0.5,2.0
107,4,117,0.16666666666666666,6.0
108,4,134,0.0,1.0
109,4,143,0.0,2.0
110,4,147,0.6666666666666666,3.0
111,4,154,0.0,1.0
112,4,157,0.5,2.0
113,4,163,0.0,1.0
114,4,201,0.0,1.0
115,4,202,0.0,1.0
116,4,235,0.5714285714285714,14.0
117,4,245,0.0,1.0
118,4,267,1.0,1.0
119,4,350,0.3888888888888889,18.0
120,4,412,0.5,14.0
121,4,427,1.0,1.0
122,4,432,1.0,1.0
123,4,497,0.0,3.0
124,4,517,0.0,1.0
125,4,526,0.25,4.0
126,4,555,0.0,5.0
127,4,711,0.0,1.0
128,5,1,1.0,1.0
129,5,3,0.0,1.0
130,5,16,0.0,1.0
131,5,44,0.0,2.0
132,5,53,0.0,1.0
133,5,59,0.0,1.0
134,5,64,0.0,2.0
135,5,78,0.0,1.0
136,5,80,0.0,1.0
137,5,81,0.0,1.0
138,5,82,0.0,1.0
139,5,89,0.5,4.0
140,5,101,0.0,1.0
141,5,113,0.6666666666666666,3.0
142,5,117,0.5,4.0
143,5,267,0.0,2.0
144,5,350,0.5,2.0
145,5,412,0.3333333333333333,3.0
146,5,555,0.5,2.0
147,5,777,1.0,1.0
148,6,12,0.0,1.0
149,6,25,1.0,1.0
150,6,29,1.0,1.0
151,6,37,1.0,1.0
152,6,53,0.0,1.0
153,6,57,0.5,2.0
154,6,61,0.0,1.0
155,6,89,1.0,2.0
156,6,101,1.0,1.0
157,6,111,0.0,1.0
158,6,154,0.0,1.0
159,6,161,0.0,1.0
160,6,235,1.0,2.0
161,6,412,0.5,2.0
162,6,526,1.0,1.0
163,6,555,0.0,1.0
164,6,887,0.0,1.0
165,7,12,1.0,2.0
166,7,16,0.5,2.0
167,7,17,0.0,1.0
168,7,19,0.0,1.0
169,7,20,0.0,1.0
170,7,21,0.5,2.0
171,7,25,0.5,2.0
172,7,26,0.0,1.0
173,7,32,0.0,1.0
174,7,34,0.0,1.0
175,7,38,0.0,1.0
176,7,40,1.0,1.0
177,7,43,1.0,1.0
178,7,44,1.0,2.0
179,7,50,1.0,1.0
180,7,53,0.3333333333333333,9.0
181,7,56,0.0,1.0
182,7,57,0.0,1.0
183,7,64,0.0,3.0
184,7,76,0.0,1.0
185,7,85,0.0,1.0
186,7,89,0.75,4.0
187,7,99,1.0,2.0
188,7,101,0.5,2.0
189,7,107,1.0,1.0
190,7,111,1.0,2.0
191,7,117,0.0,3.0
192,7,134,0.0,1.0
193,7,143,1.0,1.0
194,7,161,1.0,2.0
195,7,235,0.6666666666666666,6.0
196,7,245,0.0,1.0
197,7,246,0.0,1.0
198,7,267,1.0,2.0
199,7,350,0.42857142857142855,7.0
200,7,427,0.0,1.0
201,7,432,1.0,1.0
202,7,497,1.0,1.0
203,7,517,0.0,1.0
204,7,555,0.0,1.0
205,7,711,1.0,1.0
206,8,3,0.6666666666666666,3.0
207,8,9,0.0,1.0
208,8,10,0.0,1.0
209,8,12,0.6666666666666666,3.0
210,8,16,0.0,1.0
211,8,20,1.0,1.0
212,8,21,0.0,1.0
213,8,25,0.2,5.0
214,8,26,1.0,2.0
215,8,29,1.0,2.0
216,8,30,1.0,1.0
217,8,32,0.5,8.0
218,8,35,0.0,1.0
219,8,37,0.3333333333333333,3.0
220,8,40,0.5,2.0
221,8,43,0.3333333333333333,6.0
222,8,44,0.0,1.0
223,8,45,0.0,2.0
224,8,50,0.6666666666666666,3.0
225,8,53,0.7,10.0
226,8,57,0.75,4.0
227,8,59,0.0,1.0
228,8,63,1.0,1.0
229,8,78,1.0,1.0
230,8,79,0.3333333333333333,3.0
231,8,80,0.6,15.0
232,8,89,0.375,8.0
233,8,98,1.0,1.0
234,8,99,1.0,1.0
235,8,101,0.8,5.0
236,8,111,0.0,1.0
237,8,117,0.2,5.0
238,8,122,0.0,1.0
239,8,154,1.0,1.0
240,8,201,0.0,2.0
241,8,235,0.3333333333333333,12.0
242,8,245,0.0,1.0
243,8,267,0.6,5.0
244,8,350,0.35,40.0
245,8,412,0.5,10.0
246,8,432,0.42857142857142855,7.0
247,8,497,0.6,5.0
248,8,517,1.0,1.0
249,8,526,1.0,2.0
250,8,555,0.3333333333333333,12.0
251,8,711,0.0,1.0
252,8,875,0.42857142857142855,7.0
253,9,16,0.0,1.0
254,9,21,0.0,1.0
255,9,22,0.0,1.0
256,9,31,1.0,1.0
257,9,34,0.0,1.0
258,9,89,0.0,1.0
259,9,101,0.0,1.0
260,9,350,0.0,1.0
261,9,497,0.0,1.0
262,10,9,0.0,1.0
263,10,12,0.0,1.0
264,10,16,0.6666666666666666,3.0
265,10,22,0.0,1.0
266,10,25,0.5,2.0
267,10,26,1.0,1.0
268,10,32,0.0,1.0
269,10,34,0.0,1.0
