N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
111,한화생명,"3,195",40,-1.24%,"5,000","27,750","868,530",7.97,"2,035,419",3.63,1.90,
112,BNK금융지주,"8,500",40,-0.47%,"5,000","27,704","325,935",40.45,"1,813,681",3.40,6.11,
113,GS리테일,"26,250",650,-2.42%,"1,000","27,488","104,718",7.92,"437,382",2.65,7.50,
114,동서,"26,700",300,-1.11%,500,"26,620","99,700",2.78,"60,548",25.07,8.61,
115,제일기획,"22,900",450,-1.93%,200,"26,344","115,041",31.46,"220,839",13.49,16.11,
116,에스원,"69,000",200,-0.29%,500,"26,219","37,999",53.09,"47,113",17.25,10.48,
117,신세계,"258,500","6,500",-2.45%,"5,000","25,450","9,845",25.50,"101,383",9.72,-2.81,
118,키움증권,"96,600",600,-0.62%,"5,000","25,328","26,220",25.43,"47,762",2.78,27.63,
119,한솔케미칼,"223,000","9,500",-4.09%,"5,000","25,277","11,335",41.86,"74,452",17.40,24.50,
120,현대해상,"28,150",650,+2.36%,500,"25,166","89,400",27.54,"1,014,655",6.58,7.13,
121,포스코인터내셔널,"20,000",500,-2.44%,"5,000","24,675","123,375",7.10,"476,929",8.08,7.69,
122,LG화학우,"319,500","4,500",-1.39%,"5,000","24,566","7,689",72.09,"10,728",8.33,N/A,
123,CJ,"83,700","1,300",-1.53%,"5,000","24,421","29,177",17.35,"65,037",72.53,1.89,
124,하이트진로,"34,600",250,+0.73%,"5,000","24,266","70,134",5.10,"674,706",47.14,8.23,
125,롯데쇼핑,"85,400",500,-0.58%,"5,000","24,159","28,289",11.23,"93,800",-9.08,-7.70,
126,한화에어로스페이스,"47,700","1,100",-2.25%,"5,000","24,151","50,630",17.17,"299,165",8.66,4.78,
127,두산퓨얼셀,"35,700",700,-1.92%,100,"23,381","65,494",13.63,"241,031",714.00,4.18,
128,현대차우,"95,600",0,0.00%,"5,000","23,285","24,357",58.50,"35,334",4.84,N/A,
129,대우건설,"5,600",110,-1.93%,"5,000","23,275","415,623",11.00,"1,224,804",4.76,11.06,
130,대우조선해양,"21,450",600,-2.72%,"5,000","23,014","107,291",4.71,"148,853",-1.56,2.27,
131,SK케미칼,"128,500","4,500",-3.38%,"5,000","22,643","17,621",17.87,"53,781",61.25,30.49,
132,만도,"47,300",300,-0.63%,"1,000","22,211","46,957",18.47,"449,090",9.96,0.37,
133,DL이앤씨,"114,500","2,500",-2.14%,"5,000","22,166","19,359",23.12,"166,548",N/A,N/A,
134,녹십자,"188,000","3,000",-1.57%,"5,000","21,971","11,687",23.02,"28,759",25.47,7.48,
135,한화,"29,200",800,-2.67%,"5,000","21,888","74,959",15.73,"157,972",4.94,4.79,
136,OCI,"90,900","2,600",-2.78%,"5,000","21,679","23,849",15.01,"204,397",10.84,-9.89,
137,KODEX 레버리지,"20,740",370,-1.75%,0,"21,238","102,400",1.50,"15,074,444",N/A,N/A,
138,TIGER 200,"37,250",310,-0.83%,0,"20,841","55,950",0.00,"589,707",N/A,N/A,
139,씨에스윈드,"49,100","1,200",-2.39%,500,"20,706","42,171",11.49,"169,174",44.56,8.19,
140,KODEX MSCI Korea TR,"12,030",115,-0.95%,0,"20,643","171,600",3.31,"479,647",N/A,N/A,
141,현대로템,"18,850",250,-1.31%,"5,000","20,573","109,142",3.45,"492,971",65.68,2.84,
142,농심,"334,500","4,500",-1.33%,"5,000","20,346","6,083",12.67,"38,085",19.06,7.50,
143,영원무역,"45,750","2,350",-4.89%,500,"20,272","44,311",28.18,"202,428",8.79,8.03,
144,효성첨단소재,"441,500","4,500",-1.01%,"5,000","19,779","4,480",9.50,"36,743",9.21,0.03,
145,롯데정밀화학,"75,700",800,-1.05%,"5,000","19,531","25,800",21.48,"133,083",4.58,12.65,
146,휠라홀딩스,"32,000",800,-2.44%,"1,000","19,441","60,752",43.79,"182,316",8.27,10.94,
