position,name,championsKilled,numDeaths,assists,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
A,가렌,2.0,5.0,1.0,0.0,1.0,0.0,104.0,1.0,274.0,0.0,6418.0,3893.0,0.0,140.0,6796.0,4237.0,50482.0,9240.0,0.0,0.0,11.0
A,갈리오,3.0,2.0,15.0,0.0,2.0,0.0,116.0,1.0,0.0,2.0,9533.0,283.0,7412.0,536.0,10471.0,8162.0,59266.0,14239.0,0.0,0.0,27.0
A,그레이브즈,1.0,4.5,2.0,6.0,1.5,0.5,130.5,0.5,194.0,0.0,6649.0,6952.0,390.0,1276.5,7178.5,7343.0,74275.0,10533.5,0.0,0.0,9.5
A,나서스,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,747.0,173.0,320.0,0.0,813.0,494.0,2724.0,1253.0,0.0,0.0,0.0
A,노틸러스,2.0,9.0,11.0,0.0,0.0,0.0,129.0,1.0,21.0,0.0,9891.0,2037.0,7779.0,0.0,12000.0,12243.0,62254.0,25876.0,0.0,0.0,75.0
A,니코,2.6666666666666665,8.333333333333334,5.0,2.6666666666666665,1.3333333333333333,0.0,171.0,0.6666666666666666,0.0,1.3333333333333333,9739.333333333334,1315.6666666666667,12834.0,1614.6666666666667,12311.0,14210.0,120192.33333333333,20972.333333333332,0.0,0.0,31.666666666666668
A,다리우스,4.0,4.0,1.0,2.0,1.0,0.0,121.0,1.0,0.0,3.5,7285.5,5495.0,0.0,681.0,7298.0,6289.5,63756.0,9911.5,0.0,0.0,10.5
A,드레이븐,7.580645161290323,5.552995391705069,5.732718894009216,13.949308755760368,1.7834101382488479,0.22119815668202766,174.85714285714286,1.6129032258064515,856.0092165898618,3.5391705069124426,12643.829493087558,16999.460829493088,213.61290322580646,1202.4285714285713,10969.013824884792,17705.16129032258,136395.33179723503,17594.83410138249,0.0,0.0,9.009216589861751
A,라이즈,6.0,1.0,13.0,20.0,0.0,0.0,174.0,2.0,0.0,4.0,10323.0,674.0,9482.0,1690.0,9634.0,10527.0,116129.0,13524.0,0.0,0.0,23.0
A,라칸,1.0,6.0,13.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,6137.0,1303.0,4190.0,2344.0,11402.0,6394.0,22026.0,16648.0,0.0,0.0,23.0
A,럭스,4.5,2.25,8.25,1.75,1.25,0.0,138.75,1.0,0.0,2.75,9609.25,676.5,13595.0,919.5,5394.25,15034.75,90364.0,8797.75,0.0,0.0,26.75
A,렝가,4.666666666666667,5.666666666666667,2.0,4.0,1.0,0.0,127.0,1.0,0.0,3.0,8299.0,7460.0,982.6666666666666,4403.333333333333,11404.333333333334,9031.666666666666,71589.33333333333,17067.333333333332,0.0,0.0,11.0
A,루시안,7.05515587529976,5.693045563549161,6.436450839328537,13.139088729016786,1.381294964028777,0.1774580335731415,171.90407673860912,1.589928057553957,544.0767386091127,3.342925659472422,11208.249400479617,13799.966426858513,2865.5707434052756,908.3189448441246,10004.647482014389,17209.244604316547,126737.78657074341,15596.16067146283,0.0,0.0,2.0
A,르블랑,10.0,5.0,14.0,10.0,2.0,0.0,159.0,2.0,0.0,4.0,13539.0,1186.0,23163.0,5246.0,16760.0,25176.0,126657.0,25002.0,0.0,0.0,17.0
