position,name,championsKilled,numDeaths,assists,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
A,라이즈,4.785714285714286,4.571428571428571,7.285714285714286,17.428571428571427,1.2142857142857142,0.14285714285714285,186.21428571428572,1.3571428571428572,0.0,2.357142857142857,11533.142857142857,830.2857142857143,14816.142857142857,2777.4285714285716,13904.285714285714,15935.285714285714,160723.0,20676.785714285714,0.0,0.0,17.142857142857142
A,람머스,4.0,8.0,13.0,0.0,1.0,0.0,139.0,1.0,45.0,0.0,9537.0,2602.0,12902.0,1005.0,16570.0,16246.0,82697.0,27482.0,0.0,0.0,29.0
A,럭스,5.413793103448276,5.517241379310345,8.0,6.793103448275862,0.5172413793103449,0.034482758620689655,163.0,1.4137931034482758,0.0,2.7241379310344827,10288.655172413793,981.3448275862069,13834.655172413793,847.6551724137931,7631.9655172413795,15171.724137931034,118314.37931034483,11909.448275862069,0.0,0.0,35.275862068965516
A,럼블,2.3333333333333335,4.333333333333333,1.0,1.0,0.0,0.0,81.33333333333333,0.6666666666666666,0.0,1.3333333333333333,4548.333333333333,668.3333333333334,5227.666666666667,324.3333333333333,4755.666666666667,5929.666666666667,39479.0,9076.333333333334,0.0,0.0,6.333333333333333
A,레넥톤,5.0,10.0,2.0,0.0,0.5,0.0,127.0,1.0,0.0,1.0,8518.0,13760.5,1106.5,3954.5,21462.5,15077.0,88779.5,27465.0,0.0,0.0,16.5
A,렝가,11.5,6.25,7.75,7.75,1.4166666666666667,0.0,131.25,2.3333333333333335,151.41666666666666,5.5,12372.666666666666,17684.25,4147.166666666667,11122.25,16813.166666666668,23187.916666666668,99063.0,30355.166666666668,0.0,0.0,17.916666666666668
A,루시안,7.044467972472208,5.998411858125992,6.2106934886183165,12.357861302276337,1.2493382742191637,0.16993118051879302,173.20169401799893,1.5452620434092113,524.6082583377448,3.186341979883536,11347.043409211223,14418.506087877184,2369.081524616199,1345.361566966649,10160.253573319216,17360.84012705135,127570.44732662785,16517.556379036527,0.0,0.0,1.9131815775542615
A,룰루,4.0,5.0,13.0,0.0,0.4,0.2,115.4,1.6,0.0,2.0,8968.4,1619.8,12160.6,442.4,8352.4,14324.2,73414.8,16508.4,0.0,0.0,30.2
A,르블랑,5.0,6.0,9.0,0.0,0.0,0.0,130.0,1.0,283.0,2.0,9688.0,5188.0,8678.0,2267.0,7190.0,14169.0,86649.0,19809.0,0.0,0.0,21.0
A,리 신,10.333333333333334,7.333333333333333,4.333333333333333,11.333333333333334,1.0,0.0,138.0,1.0,0.0,4.333333333333333,12418.666666666666,15844.0,3005.0,3961.6666666666665,14564.666666666666,19203.0,114681.0,25246.0,0.0,0.0,18.0
A,리븐,8.5,4.0,5.0,17.5,1.0,0.5,174.5,1.0,0.0,4.5,13441.0,14924.5,0.0,3559.5,16244.0,15629.5,139982.5,23499.0,0.0,0.0,26.0
A,리산드라,2.4,6.0,5.0,3.6,0.0,0.0,112.2,1.0,0.0,0.6,7296.8,894.6,6687.0,1206.2,7871.0,7653.0,69164.2,12681.0,0.0,0.0,24.8
A,릴리아,2.0,7.0,3.0,0.0,0.0,0.0,84.0,1.0,0.0,0.0,4822.0,894.0,6095.0,843.0,8978.0,8110.0,48399.0,10421.0,0.0,0.0,5.0
A,마스터 이,1.0,3.0,1.5,12.166666666666666,0.0,0.0,30.833333333333332,0.5,47.5,0.5,3320.5,1748.8333333333333,0.0,1019.5,4370.166666666667,2095.3333333333335,27560.0,6413.5,0.0,0.0,0.16666666666666666
A,마오카이,5.0,6.666666666666667,13.0,1.6666666666666667,0.6666666666666666,0.0,123.33333333333333,1.3333333333333333,0.0,2.6666666666666665,9815.333333333334,2184.6666666666665,8317.333333333334,6790.333333333333,15958.666666666666,11253.666666666666,66447.0,28505.0,0.0,0.0,67.66666666666667
A,말자하,9.0,6.0,7.0,19.0,0.0,0.0,200.0,2.0,0.0,3.0,12910.0,374.0,23033.0,4952.0,12056.0,23670.0,157425.0,21550.0,0.0,0.0,47.0
A,말파이트,1.6666666666666667,2.3333333333333335,4.333333333333333,1.3333333333333333,0.0,0.3333333333333333,44.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,3778.3333333333335,959.3333333333334,4578.333333333333,985.0,3933.0,5578.333333333333,25627.0,7953.333333333333,0.0,0.0,13.0
A,모데카이저,5.0,9.5,3.5,2.0,0.0,0.0,100.0,1.0,2.0,2.0,8405.5,1839.5,10829.5,2684.0,16576.0,13420.0,64076.0,27051.0,0.0,0.0,7.0
A,모르가나,1.5,2.0,4.0,2.0,1.0,0.0,100.0,0.5,0.0,1.0,6004.5,256.5,6727.5,2095.5,3970.0,6988.0,63067.0,9749.0,0.0,0.0,20.5
A,문도 박사,1.5,6.5,6.5,2.0,0.5,0.0,107.5,1.0,0.0,1.0,7330.5,3034.0,6793.5,8605.5,13965.0,9876.0,59732.0,25954.5,0.0,0.0,13.0
A,미스 포츈,6.383548067393459,5.749256689791873,7.142715559960357,9.617443012884044,1.3468780971258671,0.17839444995044598,170.38949454905847,1.512388503468781,634.1922695738355,3.0317145688800795,11205.687809712586,14956.271555996036,1608.3617443012884,1183.9187314172448,9461.36868186323,17311.90485629336,117627.01684836471,15336.50445986125,0.0,0.0,8.501486620416253
