position,name,championsKilled,numDeaths,assists,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
A,가렌,7.589285714285714,5.482142857142857,4.642857142857143,11.625,1.4821428571428572,0.30357142857142855,131.32142857142858,1.4285714285714286,328.375,3.5535714285714284,10630.57142857143,11684.232142857143,301.98214285714283,1929.642857142857,14685.69642857143,15192.875,104363.69642857143,22806.75,0.0,0.0,28.089285714285715
A,갈리오,3.2142857142857144,7.571428571428571,8.357142857142858,4.071428571428571,0.7142857142857143,0.14285714285714285,95.92857142857143,1.0,0.0,0.8571428571428571,8312.857142857143,304.5,11521.642857142857,1495.142857142857,14657.642857142857,12192.285714285714,83782.92857142857,21012.64285714286,0.0,0.0,30.571428571428573
A,갱플랭크,5.0625,5.625,5.6875,14.375,0.9375,0.1875,146.25,1.5,921.8125,2.125,11190.75,10808.8125,2459.5625,4914.875,12039.125,15118.5,151973.625,19464.3125,0.0,0.0,7.25
A,그라가스,9.333333333333334,10.0,12.0,11.0,1.0,0.0,99.0,1.0,0.0,3.6666666666666665,12819.333333333334,2352.6666666666665,18662.333333333332,10588.0,20196.666666666668,21232.333333333332,93582.0,34891.666666666664,0.0,0.0,50.333333333333336
A,그레이브즈,6.370689655172414,5.844827586206897,5.905172413793103,20.646551724137932,1.1379310344827587,0.1206896551724138,154.06896551724137,1.3620689655172413,305.2586206896552,2.8620689655172415,11277.23275862069,15405.181034482759,1041.5862068965516,2793.8275862068967,11712.301724137931,16933.905172413793,134146.64655172414,19328.258620689656,0.0,0.0,15.543103448275861
A,그웬,5.142857142857143,5.857142857142857,5.0,13.428571428571429,1.5714285714285714,0.2857142857142857,105.28571428571429,1.0,0.0,1.4285714285714286,8814.57142857143,2435.5714285714284,7150.0,2662.8571428571427,12679.142857142857,12763.285714285714,98192.57142857143,20360.85714285714,0.0,0.0,4.857142857142857
A,나르,6.833333333333333,6.916666666666667,8.5,16.083333333333332,1.6666666666666667,0.3333333333333333,143.25,1.3333333333333333,281.0,3.6666666666666665,12157.166666666666,19278.416666666668,2972.25,5425.833333333333,17955.666666666668,22896.916666666668,134475.83333333334,29359.916666666668,0.0,0.0,36.416666666666664
A,나미,1.5,6.5,8.75,2.5,0.0,0.0,47.5,0.5,87.25,1.25,5645.0,2921.5,4344.25,3830.25,7858.5,8262.75,29725.25,14027.75,0.0,0.0,20.0
A,나서스,5.590909090909091,5.363636363636363,5.954545454545454,8.590909090909092,2.0454545454545454,0.36363636363636365,151.72727272727272,1.4545454545454546,41.31818181818182,3.5454545454545454,10920.363636363636,9977.59090909091,7133.681818181818,2152.2272727272725,15530.272727272728,17307.954545454544,132934.72727272726,27075.090909090908,0.0,0.0,14.409090909090908
A,노틸러스,2.1666666666666665,6.0,8.0,8.0,0.16666666666666666,0.16666666666666666,57.333333333333336,0.6666666666666666,0.0,0.8333333333333334,6232.833333333333,2336.0,4339.666666666667,768.5,11109.166666666666,7027.5,50957.333333333336,15194.833333333334,0.0,0.0,42.833333333333336
A,녹턴,3.909090909090909,3.8636363636363638,3.227272727272727,14.5,0.22727272727272727,0.0,67.04545454545455,0.8636363636363636,57.68181818181818,1.5,6273.090909090909,6156.681818181818,402.54545454545456,1468.8636363636363,6291.636363636364,6970.136363636364,59712.22727272727,10388.045454545454,0.0,0.0,57.77272727272727
A,누누와 윌럼프,3.125,8.666666666666666,5.8125,11.645833333333334,0.22916666666666666,0.041666666666666664,63.208333333333336,0.7916666666666666,11.541666666666666,0.9791666666666666,7099.770833333333,800.4791666666666,7041.5,5706.270833333333,12467.541666666666,8172.854166666667,63390.395833333336,20214.583333333332,0.0,0.0,21.375
